District,Total_corona_cases_March,Total_corona_death_March,Total_corona_recoveries_March,Total_corona_cases_April,Total_corona_death_April,Total_corona_recoveries_April,Total_corona_cases_June,Total_corona_death_June,Total_corona_recoveries_june,Latitude_1,Longitud_1,TotalPopul,Population_Density,Area
North Waziristan,0.000000,0.000000,0.000000,2.000000,0.000000,2.000000,6.000000,0.000000,3.000000,32.956928,70.169395,543254.000000,110.296889,4925.37916410000
Nowshera,3.000000,0.000000,0.000000,40.000000,3.000000,17.000000,198.000000,9.000000,58.000000,33.996000,72.013000,1518540.000000,874.312449,1736.83904648000
Nushki,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.551400,66.010700,178796.000000,30.220676,5916.34679097000
Okara,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,7.000000,0.000000,0.000000,30.808000,73.445000,3039139.000000,684.614364,4439.19841444000
Orakzai,1.000000,0.000000,0.000000,2.000000,0.000000,1.000000,7.000000,0.000000,3.000000,33.715754,71.005449,254356.000000,184.889782,1375.71691358000
Pakpattan,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,16.000000,0.000000,0.000000,30.350000,73.400000,969225.000000,334.378983,2898.58229889000
Panjgur,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.970600,64.088700,316385.000000,17.907314,17667.92090750000
Peshawar,43.000000,0.000000,0.000000,1348.000000,73.000000,160.000000,3201.000000,185.000000,280.000000,34.011400,71.564500,4269079.000000,3322.409856,1284.93448581000
Pishin,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,3.000000,0.000000,0.000000,30.584213,66.995823,736481.000000,149.197646,4936.27760637000
Qambar Shahdadkot,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,79.000000,0.000000,92.000000,27.850000,68.001000,1341042.000000,239.228503,5605.69489308000
Quetta,137.000000,1.000000,19.000000,1051.000000,13.000000,157.000000,3161.000000,31.000000,1277.000000,30.180200,66.996400,2275699.000000,827.865335,2748.87581823000
Rahim Yar Khan,3.000000,1.000000,0.000000,86.000000,0.000000,2.000000,147.000000,15.000000,44.000000,28.424043,70.300054,4814006.000000,373.809910,12878.21931880000
Rajanpur,0.000000,0.000000,0.000000,9.000000,0.000000,0.000000,23.000000,0.000000,0.000000,29.103000,70.325000,1995958.000000,159.378741,12523.36410770000
Rawalpindi,44.000000,0.000000,0.000000,143.000000,1.000000,0.000000,567.000000,35.000000,44.000000,33.554600,73.106400,5405633.000000,1034.270764,5226.51629433000
Sahiwal,0.000000,0.000000,0.000000,8.000000,0.000000,0.000000,14.000000,0.000000,0.000000,30.677717,73.106812,2517560.000000,778.884932,3232.26178279000
Sanghar,1.000000,0.000000,0.000000,19.000000,0.000000,2.000000,30.000000,1.000000,25.000000,26.033000,68.950000,2057057.000000,191.674635,10732.02512980000
Sargodha,3.000000,0.000000,0.000000,161.000000,0.000000,4.000000,174.000000,8.000000,20.000000,32.077800,72.672200,3703588.000000,639.416607,5792.13607640000
Shaheed Benazirabad,2.000000,0.000000,0.000000,23.000000,1.000000,6.000000,120.000000,1.000000,55.000000,26.235284,68.388627,1612847.000000,359.954673,4480.69470751000
Shangla,1.000000,0.000000,0.000000,25.000000,1.000000,9.000000,91.000000,0.000000,25.000000,34.852059,72.738327,377771.000000,271.448927,1391.68352519000
Sheerani,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.694300,69.764400,153116.000000,51.963306,2946.61777801000
Sheikhupura,4.000000,0.000000,0.000000,25.000000,0.000000,0.000000,78.000000,0.000000,15.000000,31.713000,73.978000,3187926.000000,1046.004229,3047.71808065000
Shikarpur,14.000000,0.000000,0.000000,57.000000,0.000000,0.000000,168.000000,4.000000,124.000000,27.957000,68.637000,1231481.000000,478.254957,2574.94665389000
Sialkot,20.000000,0.000000,0.000000,78.000000,0.000000,0.000000,124.000000,10.000000,37.000000,32.483600,74.556000,3893672.000000,1263.521651,3081.60291244000
Sibi,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.553200,67.880800,135572.000000,27.389156,4949.84221819000
Sohbatpur,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.518800,68.541100,200538.000000,299.769319,668.97439877600
South Waziristan,1.000000,0.000000,0.000000,2.000000,0.000000,2.000000,1.000000,0.000000,1.000000,32.399536,69.727014,679185.000000,108.849565,6239.66665332000
Sujawal,0.000000,0.000000,0.000000,9.000000,0.000000,1.000000,12.000000,0.000000,13.000000,24.602500,68.073700,781967.000000,90.046429,8684.04228652000
Sukkur,149.000000,0.000000,33.000000,156.000000,2.000000,147.000000,274.000000,3.000000,246.000000,27.722100,68.833300,1487903.000000,286.160720,5199.53611831000
Swabi,4.000000,0.000000,0.000000,7.000000,2.000000,12.000000,103.000000,7.000000,36.000000,34.120000,72.472000,1624616.000000,1094.922688,1483.77234077000
Swat,3.000000,0.000000,0.000000,99.000000,11.000000,36.000000,664.000000,32.000000,194.000000,35.429612,72.566529,1427140.000000,265.473814,5375.82211171000
Tando Allah Yar,2.000000,0.000000,0.000000,8.000000,0.000000,6.000000,12.000000,0.000000,14.000000,25.462000,68.719000,836887.000000,532.495571,1571.63185247000
Tando Muhammad Khan,2.000000,0.000000,0.000000,32.000000,0.000000,17.000000,42.000000,0.000000,25.000000,25.133000,68.533000,677228.000000,439.050606,1542.48278306000
Tank,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,7.000000,0.000000,6.000000,32.221000,70.379000,391885.000000,234.104542,1673.97435947000
Tharparkar,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,4.000000,0.000000,2.000000,24.877678,70.240829,1649661.000000,83.933012,19654.49536400000
Thatta,0.000000,0.000000,0.000000,8.000000,0.000000,3.000000,39.000000,2.000000,7.000000,24.747000,67.923000,979817.000000,125.721346,7793.56118541000
Toba Tek Singh,0.000000,0.000000,0.000000,7.000000,0.000000,0.000000,9.000000,1.000000,0.000000,30.974000,72.482000,2190015.000000,711.070755,3079.88337822000
Tor Ghar,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,2.000000,0.000000,0.000000,30.032500,67.900278,171395.000000,366.294223,467.91619788500
Umerkot,0.000000,0.000000,0.000000,4.000000,0.000000,1.000000,4.000000,0.000000,1.000000,25.366000,69.733000,1073146.000000,195.116906,5500.01546337000
Upper Dir,2.000000,0.000000,0.000000,7.000000,0.000000,0.000000,19.000000,0.000000,0.000000,35.335600,72.046800,946421.000000,252.257777,3751.80107296000
Vehari,2.000000,0.000000,0.000000,70.000000,0.000000,6.000000,80.000000,4.000000,12.000000,30.033000,72.350000,1882061.000000,418.792000,4494.02328452000
Washuk,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.717900,64.805200,108170.000000,2.947447,36699.55551300000
Zhob,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.349700,69.466500,310544.000000,25.913993,11983.64127650000
Ziarat,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,30.382440,67.725620,160422.000000,49.145144,3264.24929119000
